APN,COMMUNITY,SITUS,LAT,LONG
501-92-145,GREENWAYPARC1,15547 W PORT AU PRINCE LN SURPRISE 85379,33.62149512,-112.3948307
501-92-146,GREENWAYPARC1,15553 W PORT AU PRINCE LN SURPRISE 85379,33.62149631,-112.3949958
501-92-147,GREENWAYPARC1,15559 W PORT AU PRINCE LN SURPRISE 85379,33.621499,-112.39516
501-92-148,GREENWAYPARC1,15565 W PORT AU PRINCE LN SURPRISE 85379,33.62149798,-112.3953401
501-92-149,GREENWAYPARC1,15129 N 155TH LN SURPRISE 85379,33.62127967,-112.3952642
501-92-150,GREENWAYPARC1,15117 N 155TH LN SURPRISE 85379,33.62113678,-112.3952663
501-92-151,GREENWAYPARC1,15105 N 155TH LN SURPRISE 85379,33.62099388,-112.3952684
501-92-152,GREENWAYPARC1,15575 W MAUI LN SURPRISE 85379,33.62075335,-112.3957137
501-92-153,GREENWAYPARC1,15581 W MAUI LN SURPRISE 85379,33.62075733,-112.3958895
501-92-154,GREENWAYPARC1,15587 W MAUI LN SURPRISE 85379,33.62075899,-112.3960537
501-92-155,GREENWAYPARC1,15593 W MAUI LN SURPRISE 85379,33.62076066,-112.396218
501-92-156,GREENWAYPARC1,15599 W MAUI LN SURPRISE 85379,33.62076233,-112.3963822
501-92-157,GREENWAYPARC1,15605 W MAUI LN SURPRISE 85379,33.62076399,-112.3965464
501-92-158,GREENWAYPARC1,15611 W MAUI LN SURPRISE 85379,33.62076571,-112.3967107
501-92-159,GREENWAYPARC1,15617 W MAUI LN SURPRISE 85379,33.62076755,-112.3968833
